campaign_id,click_rate
1889,0.05834982090801145
1890,0.6373605561421385
1891,0.17234182788934024
1892,0.189982683867232
1893,0.14089113898409172
1894,0.031926639736958216
1895,0.006843417640723396
1896,0.02934808949623573
1897,0.024591317945099313
1898,0.04073277049836869
1899,0.04078474726951819
1900,0.015928435296736126
1901,0.017471415340340187
1902,0.036173406042674515
1903,0.027364194841116428
1904,0.01079483659043093
1905,0.011461482878719023
1906,0.020032682466300286
1907,0.027814166485019456
1908,0.06136545577818645
1909,0.03314101197685356
1910,0.03045222353931609
1911,0.007488707701322168
1912,0.00937091798810772
1913,0.028484312540962505
1914,0.029465076741082716
1915,0.0701411598995781
1916,0.010048140731617685
1917,0.09722401046793461
1918,0.017524446179711425
1919,0.018881646450451043
1920,0.043546999783561295
1921,0.017602016086025206
1922,0.18343443930368541
1923,0.03601279456905162
1924,0.047723582096788696
1925,0.01714001357605158
1926,0.005607219345409958
1927,0.0075916541766157175
1928,0.036499486876913324
1929,0.01187703299866753
1930,0.0259016869719964
1931,0.005261821386298502
1932,0.0641259066707729
1933,0.06515068022270992
1934,0.008907863709529472
1935,0.03199937296517117
1936,0.034237265546767225
1937,0.04108200683736855
1938,0.011206538269201842
1939,0.02257502963176913
1940,0.017021294496036007
1941,0.009484794912550219
1942,0.03483871473904968
1943,0.01648144513441732
1944,0.01423879645021165
1945,0.03952418508317228
1946,0.014743472137466828
1947,0.010856545621672417
1948,0.008144458329287015
1949,0.07917622627836109
1950,0.009520695152194473
1951,0.015964604343691097
1952,0.005305892216368928
1953,0.02476050760381553
1954,0.02508718743625095
1955,0.006150969362794245
1956,0.06794383597743875
1957,0.01911288794343082
1958,0.09796087283549042
1959,0.01708988942853468
1960,0.16881774169154223
1961,0.020452292331674005
1962,0.016425489231233076
1963,0.10517938421622572
1964,0.1236800790691111
1965,0.011719110489341966
1966,0.049955474357406694
1967,0.010089727377419151
1968,0.10396024141491314
1969,0.019880050468557946
1970,0.025142972698400993
1971,0.07896084162390403
1972,0.025143682842351103
1973,0.027116506944213352
1974,0.1900773659909712
1975,0.00942999787404509
1976,0.023209041573718184
1977,0.0582624882819304
1978,0.01885604230898079
1979,0.024581725848115795
1980,0.017203150828842086
1981,0.015279312737422278
1982,0.013737744154970519
1983,0.010980165905066296
1984,0.035244796560012295
1985,0.024369102408237298
1986,0.05507458039011209
1987,0.013053632548316657
1988,0.024306200397039436
1989,0.05743985774798776
1990,0.05743985774798776
1991,0.05743985774798776
1992,0.007703841430943694
1993,0.01878057164321785
1994,0.015551222387134826
1995,0.019091293568144242
1996,0.023631111173172185
1997,0.011308191729872592
1998,0.05284852004379542
1999,0.09836026149618556
2000,0.017235125928292506
2001,0.09798912346975001
